;ma;eh;sg;gm;gw;sn;sl;lr;gq;ga;ao1;zu;mz;rh;jo;il;tn;eg;mr;se;gn;al;ci;gh;tg;dz;ml;bf;bj;ly;ne;ng;td;cm;cg;cf;ug;bu;rw;bi;cd;ao2;mw;tz;na;zw;bw;zm;sz;mq;ls;za;er;sd;ke;so;et;dj
ao2;5;5;6;7;7;6;7;7;4;3;2;3;2;3;4;4;4;3;5;6;6;6;6;6;6;4;5;5;5;3;4;4;3;3;2;2;2;3;2;2;1;0;2;2;1;2;2;1;3;2;3;2;3;2;3;4;3;4
mw;6;6;7;8;8;7;8;8;5;4;3;2;1;4;5;5;5;4;6;7;7;7;7;7;7;5;6;6;6;4;5;5;4;4;3;3;2;3;2;2;2;2;0;1;2;2;2;1;2;1;3;2;4;3;2;3;3;4
tz;5;5;6;7;7;6;7;7;4;3;2;2;1;3;4;4;4;3;5;6;6;6;6;6;6;4;5;5;5;3;4;4;3;3;2;2;1;2;1;1;1;2;1;0;2;2;2;1;2;2;3;2;3;2;1;2;2;3
na;6;6;7;8;8;7;8;8;5;4;3;3;2;4;5;5;5;4;6;7;7;7;7;7;7;5;6;6;6;4;5;5;4;4;3;3;3;4;3;3;2;1;2;2;0;2;1;1;2;2;2;1;4;3;3;4;4;5
zw;6;6;7;8;8;7;8;8;5;4;3;2;1;4;5;5;5;4;6;7;7;7;7;7;7;5;6;6;6;4;5;5;4;4;3;3;3;4;3;3;2;2;2;2;2;0;1;1;2;1;2;1;4;3;3;4;4;5
bw;6;6;7;8;8;7;8;8;5;4;3;3;2;4;5;5;5;4;6;7;7;7;7;7;7;5;6;6;6;4;5;5;4;4;3;3;3;4;3;3;2;2;2;2;1;1;0;1;2;2;2;1;4;3;3;4;4;5
zm;5;5;6;7;7;6;7;7;4;3;2;2;1;3;4;4;4;3;5;6;6;6;6;6;6;4;5;5;5;3;4;4;3;3;2;2;2;3;2;2;1;1;1;1;1;1;1;0;2;1;3;2;3;2;2;3;3;4
sz;7;7;8;9;9;8;9;9;6;5;4;2;1;5;6;6;6;5;7;8;8;8;8;8;8;6;7;7;7;5;6;6;5;5;4;4;3;4;3;3;3;3;2;2;2;2;2;2;0;1;2;1;5;4;3;4;4;5
mq;6;6;7;8;8;7;8;8;5;4;3;3;2;4;5;5;5;4;6;7;7;7;7;7;7;5;6;6;6;4;5;5;4;4;3;3;3;4;3;3;2;2;1;2;2;1;2;1;1;0;3;2;4;3;3;4;4;5
ls;8;8;9;10;10;9;10;10;7;6;5;3;2;6;7;7;7;6;8;9;9;9;9;9;9;7;8;8;8;6;7;7;6;6;5;5;4;5;4;4;4;3;3;3;2;2;2;3;2;3;0;1;6;5;4;5;5;6
za;7;7;8;9;9;8;9;9;6;5;4;2;1;5;6;6;6;5;7;8;8;8;8;8;8;6;7;7;7;5;6;6;5;5;4;4;3;4;3;3;3;2;2;2;1;1;1;2;1;2;1;0;5;4;3;4;4;5
er;4;4;5;6;6;5;6;6;4;4;3;5;4;1;3;3;3;2;4;5;5;5;5;5;5;3;4;4;4;2;3;3;2;3;3;2;2;4;3;3;2;3;4;3;4;4;4;3;5;4;6;5;0;1;2;2;1;1
sd;3;3;4;5;5;4;5;5;3;3;2;4;3;1;2;2;2;1;3;4;4;4;4;4;4;2;3;3;3;1;2;2;1;2;2;1;1;3;2;2;1;2;3;2;3;3;3;2;4;3;5;4;1;0;1;2;1;2
ke;4;4;5;6;6;5;6;6;4;4;3;3;2;2;3;3;3;2;4;5;5;5;5;5;5;3;4;4;4;2;3;3;2;3;3;2;1;3;2;2;2;3;2;1;3;3;3;2;3;3;4;3;2;1;0;1;1;2
so;5;5;6;7;7;6;7;7;5;5;4;4;3;2;4;4;4;3;5;6;6;6;6;6;6;4;5;5;5;3;4;4;3;4;4;3;2;4;3;3;3;4;3;2;4;4;4;3;4;4;5;4;2;2;1;0;1;1
et;4;4;5;6;6;5;6;6;4;4;3;4;3;2;3;3;3;2;4;5;5;5;5;5;5;3;4;4;4;2;3;3;2;3;3;2;2;4;3;3;2;3;3;2;4;4;4;3;4;4;5;4;1;1;1;1;0;1
dj;5;5;6;7;7;6;7;7;5;5;4;5;4;1;3;3;4;2;5;6;6;6;6;6;6;4;5;5;5;3;4;4;3;4;4;3;3;5;4;4;3;4;4;3;5;5;5;4;5;5;6;5;1;2;2;1;1;0
